Name,Age,Movie Genre,Watch Cartoon,Music Genre,Id,Email
Alejandro Lewis,18-23,Romance,No,Vietnamese,0,email_0@gmail.com
Christine Williams,Above 23,Fiction,No,US-UK,1,email_1@gmail.com
Bianca Johnson,Under 18,Fiction,,Other,2,email_2@gmail.com
Julia Armstrong,18-23,Action,Yes,,3,email_3@gmail.com
Joshua Ruiz,,Fiction,,Vietnamese,4,
Ryan Olson,Under 18,Horror,No,US-UK,5,email_5@gmail.com
Charles Roberts,,Mystery,,,6,email_6@gmail.com
Christopher Smith,Above 23,,,US-UK,7,
John Coleman,,Humor,Yes,K-Pop,8,email_8@gmail.com
Gary Freeman,Under 18,Action,No,Red,9,
Gregory Gonzalez,Above 23,Horror,,K-Pop,10,email_10@gmail.com
Krystal Mcdowell,18-23,Epics,No,K-Pop,11,email_11@gmail.com
Timothy Donovan,,Humor,,Vietnamese,12,
James Hull,18-23,Epics,Yes,,13,email_13@gmail.com
Ann Buck,Under 18,Horror,Yes,,14,
Stephen Ward,,Horror,Yes,Other,15,
Harold Mcdowell,Under 18,Mystery,Yes,K-Pop,16,
Brenda Silva,,Action,No,Red,17,
Willie Kelly,18-23,,,Red,18,
Stephanie Wilson,Under 18,Fiction,No,US-UK,19,
Shawn Hernandez,Above 23,Horror,No,Harness bells,20,email_20@gmail.com
Deborah Griffith,Above 23,Romance,,Harness bells,21,
Rachel Alvarez,Above 23,Action,No,,22,email_22@gmail.com
Steven Williamson,Under 18,Romance,,Other,23,
Samantha Everett,,Fiction,,Red,24,
Cole Fleming,,Romance,,US-UK,25,email_25@gmail.com
Brian Logan,Above 23,Horror,Yes,US-UK,26,
Adam Nelson,Above 23,Fiction,,US-UK,27,
Robert Warren,,Fiction,No,,28,
Jill Alexander,Above 23,Romance,Yes,Harness bells,29,
Jennifer Whitaker,18-23,Humor,No,Red,30,email_30@gmail.com
Jacqueline Wood,,Humor,No,Red,31,
Brandi Foster,Under 18,Romance,Yes,Other,32,
Jennifer Hale,Above 23,Horror,Yes,K-Pop,33,
Mr. James Garcia MD,18-23,Fiction,No,Harness bells,34,
Dr. Jeffrey Avery,Above 23,Fiction,No,K-Pop,35,
Denise Fernandez,,Epics,No,US-UK,36,
Willie Navarro,Under 18,Epics,No,,37,
Charlene Hancock,Above 23,,,US-UK,38,
Benjamin Delgado,,,,,39,email_39@gmail.com
Caleb Lara,18-23,Fiction,No,Harness bells,40,
Christopher Barron,,,,Harness bells,41,email_41@gmail.com
Bradley Cruz,Under 18,Romance,,Vietnamese,42,
Joseph Kennedy,Above 23,Mystery,No,US-UK,43,
Jason Burke,Above 23,Fiction,Yes,US-UK,44,email_44@gmail.com
Michael Davis,Above 23,Epics,No,,45,
Brandon Harris,Under 18,Humor,Yes,,46,
Matthew Lang,,Action,,Red,47,
John Wall MD,,Horror,,,48,
Rodney Munoz,18-23,,,US-UK,49,
Michael Palmer,Under 18,Epics,No,Harness bells,50,
Karen Nelson,,Mystery,Yes,Vietnamese,51,
April Cameron,18-23,Action,No,,52,
Brandon Johnston,Above 23,Horror,No,Vietnamese,53,
