Name,Game Genre,Sport,City,Watch Sport,Id,Email
Christopher Miller,No,,Ha Noi,,0,email_0@gmail.com
Zachary Mora,No,Tennis,NewYork,No,1,email_1@gmail.com
Erin Holland,No,Badminton,Tokyo,No,2,email_2@gmail.com
Christopher Moore,Console,Football,Kyoto,,3,email_3@gmail.com
Erin Watkins,FPS,Golf,London,,4,
Jasmine Pena,FPS,Tennis,Kyoto,No,5,email_5@gmail.com
Mary Harrison,,Tennis,Washington,,6,email_6@gmail.com
Dr. Louis Dalton DDS,No,,Kyoto,No,7,
Eddie Horn,Sports,Badminton,Ha Noi,Yes,8,email_8@gmail.com
Mr. Kirk Cohen,,Badminton,Washington,,9,
Terry Poole,No,Jogging,Kyoto,,10,email_10@gmail.com
Michael Marshall,Role-playing,Tennis,NewYork,No,11,email_11@gmail.com
John Sanchez,No,Badminton,Tokyo,Yes,12,
Mary Rogers,Console,Football,Tokyo,,13,email_13@gmail.com
Steven Rice,No,Tennis,NewYork,,14,
Jennifer Williamson,Console,,NewYork,Yes,15,
Rodney Stout,,Badminton,Washington,No,16,
Jeffrey Vazquez,No,Golf,Tokyo,,17,
Kelly Santana,Sports,Badminton,Kyoto,Yes,18,
Hayden Rivera,,Jogging,Washington,Yes,19,
Hunter Lopez,No,Badminton,Tokyo,No,20,email_20@gmail.com
Christine Wilson,,,Washington,,21,
Maria Mcdonald,No,Jogging,London,No,22,email_22@gmail.com
Erin Wilkerson,,Football,London,No,23,
Jenna Reynolds,FPS,,Ha Noi,,24,
William Miller,Console,Football,Kyoto,,25,email_25@gmail.com
Janice Wagner,No,Golf,Kyoto,No,26,
Marc Snow,Role-playing,Golf,Washington,Yes,27,
Seth Walker,Role-playing,Football,Tokyo,No,28,
Amanda Chavez,FPS,Jogging,Ha Noi,No,29,
Beth Lowe,FPS,Tennis,Washington,Yes,30,email_30@gmail.com
Jennifer Campbell,FPS,Badminton,Kyoto,No,31,
Juan Harris,Role-playing,,Tokyo,,32,
Carla Sherman,Sports,Golf,Ha Noi,,33,
Derek Bell,Console,Jogging,Ha Noi,Yes,34,
Brandon Hopkins,Role-playing,,NewYork,Yes,35,
Michelle Anderson,Console,Football,NewYork,No,36,
Thomas Patterson,Sports,Jogging,Kyoto,Yes,37,
Kayla Lee,Sports,,NewYork,Yes,38,
Wanda Calhoun,FPS,Tennis,Washington,,39,email_39@gmail.com
Michael Hopkins,Sports,Football,Ha Noi,No,40,
Thomas Wallace,Sports,Golf,Washington,No,41,email_41@gmail.com
Amy Chavez,No,Jogging,Kyoto,,42,
Evelyn Pope,FPS,Golf,London,No,43,
Michael Benson,Console,Golf,Tokyo,No,44,email_44@gmail.com
Steven Mills,No,Jogging,NewYork,,45,
Jason Chavez,FPS,,London,No,46,
Andrew Simpson,Sports,Football,Kyoto,,47,
Curtis Lopez,,Football,Kyoto,No,48,
Brett Potter,No,Jogging,Kyoto,No,49,
Amber Harper,Role-playing,Football,Ha Noi,Yes,50,
Mckenzie George,,Football,Tokyo,Yes,51,
Patricia Simon MD,FPS,,Washington,No,52,
Dennis Gonzales,Console,Football,Tokyo,No,53,
Jennifer Tate,Console,Badminton,Washington,No,54,
Elizabeth Valencia,No,Football,Kyoto,,55,
Mark Jackson,,Jogging,Washington,,56,
Dave Davis PhD,FPS,Jogging,Kyoto,No,57,
Eric Obrien,FPS,Football,Washington,No,58,
Daniel Colon,No,Tennis,Tokyo,No,59,email_59@gmail.com
Jacob Davies,Console,Tennis,Washington,No,60,
Michael Copeland,Role-playing,Badminton,Kyoto,Yes,61,
Keith Wade,No,Tennis,Tokyo,Yes,62,
Susan Baldwin,Console,Jogging,Kyoto,Yes,63,
Rachel Yates,Role-playing,Golf,Kyoto,Yes,64,
Mary Monroe,Sports,,Tokyo,Yes,65,
